"","Nombre","Edad","Altura","Peso","Nacionalidad","Equipo","Posición","Partidos","Minutos por partido","Goles","Asistencias","Targetas","Puntos","Puntos local","Puntos visitante","Media total","Media local","Media visitante","Valor de Comunio","Valor de mercado"
"238","Fran Beltrán","22","1.70","66","España","celta","centrocampistas","23",39,"3","0","3","76","46",30,"3.5","3.5","3.3","950 000","13"
"240","Tomás Pina","33","1.85","71","España","alaves","centrocampistas","25",76,"1","0","10","76","32",44,"3.0","2.5","3.7","850 000","1"
"242","Sergio Álvarez Díaz","29","1.82","72","España","eibar","centrocampistas","23",60,"0","0","3","76","34",42,"3.8","3.8","3.8","640 000","2"
"243","Víctor Ruiz","32","1.84","78","España","betis","defensas","20",76,"1","0","5","75","39",36,"3.8","4.9","3.0","1 520 000","2"
"245","Muto","28","1.79","72","Japón","eibar","delanteros","22",47,"1","1","0","74","36",38,"3.4","3.0","3.8","1 050 000","3"
"246","Diakhaby","24","1.92","74","Francia","valencia","defensas","20",83,"1","0","4","73","34",39,"3.7","3.8","3.5","1 550 000","10"
"247","Lucas Torró","26","1.90","77","España","osasuna","centrocampistas","18",59,"0","1","3","73","34",39,"4.1","3.8","4.3","1 520 000","2"
"249","Aritz Elustondo","27","1.78","72","España","real-sociedad","defensas","16",81,"0","0","4","72","40",32,"4.5","4.4","4.6","1 920 000","16"
"250","Pedro Mosquera","32","1.83","77","España","huesca","centrocampistas","20",87,"0","0","1","72","34",38,"3.6","3.4","3.8","1 160 000","645K €"
"251","Borja García","30","1.75","65","España","huesca","centrocampistas","18",61,"1","0","0","72","34",38,"4.0","4.3","3.8","1 150 000","1"
"252","Roque Mesa","31","1.71","68","España","valladolid","centrocampistas","18",76,"1","0","5","71","28",43,"3.9","3.1","4.8","2 030 000","3"
"253","Isco","28","1.76","74","España","real-madrid","centrocampistas","19",33,"0","1","0","71","51",20,"3.9","4.3","3.3","1 990 000","21"
"254","De Marcos","31","1.80","78","España","athletic","defensas","18",55,"1","2","1","71","43",28,"3.9","5.4","2.8","1 680 000","2"
"256","Rodrigo Battaglia","29","1.87","82","Argentina","alaves","centrocampistas","25",79,"0","0","8","70","30",40,"2.8","2.3","3.3","660 000","4"
"257","Timor","31","1.85","80","España","getafe","centrocampistas","25",37,"0","0","4","70","46",24,"3.2","3.3","3.0","430 000","2"
"258","Rodrygo","20","1.74","62","Brasil","real-madrid","delanteros","15",38,"0","5","0","69","32",37,"4.6","4.0","5.3","2 940 000","48"
